"year","month","day","hour","minute","second","Lat","Long","Dep"
2024,7,29,7,13,3.67,51.396045,-130.750399,8.831
2024,7,29,7,33,34.97,51.3995,-130.747054,5.921
2024,7,29,7,55,31.45,51.401021,-130.739323,7.92
2024,7,29,8,1,59.55,50.639404,-130.419507,24.151
2024,7,29,8,36,49.66,51.384941,-130.747632,1.235
2024,7,29,10,5,44.17,51.400594,-130.757617,7.917
2024,7,29,10,6,9.09,51.396354,-130.755688,6.084
2024,7,29,10,8,8.23,51.399703,-130.790332,8.264
2024,7,29,11,7,53.65,51.393294,-130.760791,9.716
2024,7,29,11,14,20.81,51.400037,-130.753516,7.987
2024,7,29,11,16,1.21,51.719531,-131.389136,9.638
2024,7,29,11,39,36.15,51.381295,-130.743229,9.527
2024,7,29,12,22,42.96,51.400049,-130.74891,5.885
2024,7,29,12,42,22.29,51.402958,-130.74598,8.604
2024,7,29,12,47,8.51,51.400326,-130.74786,6.132
2024,7,29,13,9,50.06,51.398665,-130.749357,7.825
2024,7,29,13,42,25.32,51.394328,-130.753125,11.038
2024,7,29,14,0,56.63,51.40072,-130.747689,5.889
2024,7,29,14,9,53.85,50.899105,-130.718774,11.958
2024,7,29,14,24,48.48,51.21495,-130.828052,6.602
2024,7,29,15,1,9.93,50.955949,-130.567562,8.655
2024,7,29,15,51,58.08,51.395662,-130.752539,7.809
2024,7,29,15,58,56.26,51.399715,-130.743254,7.701
2024,7,29,16,0,34.29,51.398462,-130.748315,7.209
2024,7,29,16,5,40.23,51.401294,-130.751636,7.563
2024,7,29,16,17,39.38,51.398128,-130.751823,7.735
2024,7,29,17,4,35.16,51.399776,-130.751042,5.659
2024,7,29,17,24,25.56,50.962183,-130.571549,6.02
2024,7,29,17,25,55.28,51.059416,-130.62526,9.962
2024,7,29,17,31,51.26,51.403097,-130.743424,7.117
2024,7,29,17,34,7.3,51.401868,-130.743685,8.228
2024,7,29,17,53,15.53,51.397005,-130.72312,8.855
2024,7,29,17,56,26.65,51.381856,-131.077409,9.451
2024,7,29,18,41,50.89,51.186694,-131.034082,16.095
2024,7,29,19,50,14.04,51.474491,-131.266187,12.273
2024,7,29,20,27,10.8,51.57369,-130.709562,22.335
2024,7,29,20,53,57.21,51.412427,-131.214673,7.055
2024,7,29,21,25,50.64,50.885665,-130.698381,12.003
2024,7,29,21,43,40.63,50.752543,-130.655819,19.422
2024,7,30,1,37,43.52,50.898319,-130.718962,12.615
2024,7,30,1,53,11.18,51.975639,-131.331763,17.916
2024,7,30,8,36,34.3,51.495044,-131.324902,9.77
2024,7,30,11,12,13.22,51.282638,-130.753923,6.484
2024,7,30,12,18,57.02,51.344731,-131.166789,7.907
2024,7,30,12,23,20.18,51.337972,-131.163745,6.459
2024,7,30,13,31,3.12,51.778206,-131.336076,23.36
2024,7,30,13,55,6.62,51.181254,-130.524626,10.694
2024,7,30,14,26,44.94,51.396574,-130.760531,6.497
2024,7,30,16,38,8.59,50.632922,-130.420915,27.134
2024,7,30,17,37,31.72,51.354468,-130.697192,9.735
2024,7,30,18,20,9.54,51.289681,-131.161979,9.848
2024,7,30,18,42,48.08,50.890299,-130.715706,15.053
2024,7,30,20,17,22.46,50.621037,-130.394466,27.62
2024,7,30,21,11,20.12,50.640828,-130.429517,24.541
2024,7,30,23,45,16.96,51.018091,-130.849862,14.448
2024,7,31,1,20,55.79,51.355566,-131.134147,16.004
2024,7,31,9,39,42.27,51.342375,-131.169946,9.556
2024,7,31,9,46,4.87,51.341768,-131.16272,7.037
2024,7,31,9,47,2.58,51.278829,-131.172257,11.085
2024,7,31,10,8,32.55,50.97286,-130.565951,11.067
2024,7,31,11,39,18.74,50.725997,-130.535881,21.031
2024,7,31,14,29,16.81,51.243799,-131.114893,15.287
2024,7,31,14,32,30.49,50.897262,-130.718522,9.791
2024,7,31,16,24,1.73,51.321077,-130.819287,9.353
2024,7,31,16,28,31.72,51.263814,-130.668579,8.526
2024,7,31,16,43,17.26,51.262219,-130.670028,9.055
2024,7,31,17,24,37.19,51.262663,-130.674894,5.846
2024,7,31,17,49,24.25,51.722652,-131.266707,18.689
2024,7,31,23,44,37.79,51.670512,-130.935539,19.853
2024,8,1,0,54,56.52,50.903129,-130.562826,9.613
2024,8,1,2,2,32.68,51.365283,-131.178776,12.114
2024,8,1,2,4,2.44,51.365719,-131.191366,20.001
2024,8,1,3,57,4.27,51.023275,-130.570785,7.847
2024,8,1,6,28,32.31,52.055912,-132.102376,21.042
2024,8,1,7,17,32.25,50.963928,-130.781877,12.87
2024,8,1,8,2,29.76,51.035905,-130.570353,12.665
2024,8,1,8,11,30.26,51.25363,-130.756104,8.331
2024,8,1,9,44,25.49,51.220561,-131.09436,16.217
2024,8,1,10,7,4.77,50.728984,-130.605688,19.014
2024,8,1,10,9,2.83,50.746517,-130.555485,9.125
2024,8,1,10,37,44.65,51.26298,-130.682316,7.874
2024,8,1,11,54,21.98,51.036898,-130.614827,14.6
2024,8,1,13,5,6.71,51.27019,-130.673332,6.741
2024,8,1,13,18,48.2,51.033818,-130.619539,15.696
2024,8,1,19,32,58.25,51.059465,-130.609375,13.087
2024,8,1,19,44,9.09,50.545056,-130.317961,27.948
2024,8,1,23,36,18.57,50.994454,-130.551733,1.883
2024,8,1,23,42,22.66,50.883854,-130.698169,10.855
2024,8,2,2,12,1.33,50.616947,-130.418262,25.488
2024,8,2,3,50,51.78,51.360653,-131.05682,10.505
2024,8,2,3,53,50.47,51.356486,-131.055428,11.468
2024,8,2,7,45,21.63,51.259745,-130.683382,9.457
2024,8,2,8,9,25.87,51.819511,-131.080355,23.193
2024,8,2,10,35,24.93,51.52935,-130.780233,10.549
2024,8,2,11,32,37.41,50.969401,-130.635457,12.578
2024,8,2,12,24,26.12,51.537183,-131.255176,12.022
2024,8,2,12,26,53.67,51.528145,-130.776066,9.72
2024,8,2,14,11,20.15,50.689364,-130.460994,5.636
2024,8,2,18,30,52.66,51.008667,-130.579224,8.137
2024,8,2,19,52,40.99,50.721285,-130.583984,20.66
2024,8,2,19,55,49.36,51.548702,-131.295736,10.492
2024,8,2,21,10,15.24,51.386466,-130.712687,9.506
2024,8,2,22,13,28.82,51.365328,-131.066797,6.433
2024,8,2,22,18,7.91,50.771464,-130.601286,10.389
2024,8,2,23,59,1.45,51.378768,-130.740682,11.508
2024,8,3,0,51,18.76,51.350529,-130.800179,10.256
2024,8,3,2,16,59.99,50.889486,-130.71123,12.974
2024,8,3,2,45,13.28,50.827067,-130.536385,12.759
2024,8,3,2,47,8.28,50.829443,-130.529631,14.117
2024,8,3,3,53,41.88,51.357511,-130.80577,10.739
2024,8,3,5,21,48.11,51.550167,-131.301904,9.549
2024,8,3,5,45,28.27,51.539266,-131.309839,15.316
2024,8,3,11,54,33.7,51.459367,-130.729671,13.273
2024,8,3,12,25,38.86,51.336711,-131.209204,14.851
2024,8,3,12,53,27.14,51.133643,-130.471606,16.652
2024,8,3,15,4,8.03,50.580448,-130.354915,26.456
2024,8,3,16,21,19.58,51.2665,-130.676042,7.748
2024,8,3,17,27,35.6,51.442407,-130.977181,16.767
2024,8,3,17,30,53.17,51.42749,-130.992131,9.518
2024,8,3,17,54,48.47,51.430986,-130.990495,9.3
2024,8,3,18,0,12.35,51.429106,-130.994303,9.449
2024,8,3,18,6,7.95,51.423291,-130.994564,10.109
2024,8,3,19,12,30.54,51.426872,-130.993148,9.192
2024,8,3,19,24,54.2,51.429451,-130.992122,9.668
