       -133.000          49.000      -0.0019600
       -133.000          49.020      -0.0018520
       -133.000          49.040      -0.0017350
       -133.000          49.060      -0.0016110
       -133.000          49.080      -0.0014780
       -133.000          49.100      -0.0013360
       -133.000          49.120      -0.0011850
       -133.000          49.140      -0.0010240
       -133.000          49.160      -0.0008540
       -133.000          49.180      -0.0006730
       -133.000          49.200      -0.0004810
       -133.000          49.220      -0.0002770
       -133.000          49.240      -0.0000620
       -133.000          49.260       0.0001650
       -133.000          49.280       0.0004050
       -133.000          49.300       0.0006580
       -133.000          49.320       0.0009250
       -133.000          49.340       0.0012060
       -133.000          49.360       0.0015020
       -133.000          49.380       0.0018120
       -133.000          49.400       0.0021380
       -133.000          49.420       0.0024800
       -133.000          49.440       0.0028380
       -133.000          49.460       0.0032140
       -133.000          49.480       0.0036060
       -133.000          49.500       0.0040160
       -133.000          49.520       0.0044430
       -133.000          49.540       0.0048890
       -133.000          49.560       0.0053540
       -133.000          49.580       0.0058370
       -133.000          49.600       0.0063390
       -133.000          49.620       0.0068600
       -133.000          49.640       0.0074000
       -133.000          49.660       0.0079580
       -133.000          49.680       0.0085360
       -133.000          49.700       0.0091320
       -133.000          49.720       0.0097460
       -133.000          49.740       0.0103780
       -133.000          49.760       0.0110270
       -133.000          49.780       0.0116920
       -133.000          49.800       0.0123730
       -133.000          49.820       0.0130670
       -133.000          49.840       0.0137750
       -133.000          49.860       0.0144940
       -133.000          49.880       0.0152220
       -133.000          49.900       0.0159590
       -133.000          49.920       0.0167000
       -133.000          49.940       0.0174440
       -133.000          49.960       0.0181880
       -133.000          49.980       0.0189280
       -133.000          50.000       0.0196620
       -133.000          50.020       0.0203840
       -133.000          50.040       0.0210920
       -133.000          50.060       0.0217790
       -133.000          50.080       0.0224420
       -133.000          50.100       0.0230740
       -133.000          50.120       0.0236690
       -133.000          50.140       0.0242210
       -133.000          50.160       0.0247240
       -133.000          50.180       0.0251680
       -133.000          50.200       0.0255480
       -133.000          50.220       0.0258540
       -133.000          50.240       0.0260780
       -133.000          50.260       0.0262100
       -133.000          50.280       0.0262410
       -133.000          50.300       0.0261610
       -133.000          50.320       0.0259600
       -133.000          50.340       0.0256260
       -133.000          50.360       0.0251490
       -133.000          50.380       0.0245180
       -133.000          50.400       0.0237220
       -133.000          50.420       0.0227490
       -133.000          50.440       0.0215880
       -133.000          50.460       0.0202290
       -133.000          50.480       0.0186600
       -133.000          50.500       0.0168710
       -133.000          50.520       0.0148530
       -133.000          50.540       0.0125970
       -133.000          50.560       0.0100940
       -133.000          50.580       0.0073370
       -133.000          50.600       0.0043210
       -133.000          50.620       0.0010400
       -133.000          50.640      -0.0025090
       -133.000          50.660      -0.0063260
       -133.000          50.680      -0.0104120
       -133.000          50.700      -0.0147640
       -133.000          50.720      -0.0193770
       -133.000          50.740      -0.0242460
       -133.000          50.760      -0.0293600
       -133.000          50.780      -0.0347090
       -133.000          50.800      -0.0402770
       -133.000          50.820      -0.0460490
       -133.000          50.840      -0.0520050
       -133.000          50.860      -0.0581230
       -133.000          50.880      -0.0643800
       -133.000          50.900      -0.0707480
       -133.000          50.920      -0.0772000
       -133.000          50.940      -0.0837030
       -133.000          50.960      -0.0902260
       -133.000          50.980      -0.0967350
       -133.000          51.000      -0.1031940
       -133.000          51.020      -0.1095670
       -133.000          51.040      -0.1158180
       -133.000          51.060      -0.1219100
       -133.000          51.080      -0.1278050
       -133.000          51.100      -0.1334690
       -133.000          51.120      -0.1388650
       -133.000          51.140      -0.1439620
       -133.000          51.160      -0.1487260
       -133.000          51.180      -0.1531300
       -133.000          51.200      -0.1571450
       -133.000          51.220      -0.1607490
       -133.000          51.240      -0.1639200
       -133.000          51.260      -0.1666410
       -133.000          51.280      -0.1688990
       -133.000          51.300      -0.1706840
       -133.000          51.320      -0.1719890
       -133.000          51.340      -0.1728110
       -133.000          51.360      -0.1731530
       -133.000          51.380      -0.1730200
       -133.000          51.400      -0.1724190
       -133.000          51.420      -0.1713630
       -133.000          51.440      -0.1698680
       -133.000          51.460      -0.1679500
       -133.000          51.480      -0.1656320
       -133.000          51.500      -0.1629350
       -133.000          51.520      -0.1598840
       -133.000          51.540      -0.1565070
       -133.000          51.560      -0.1528300
       -133.000          51.580      -0.1488820
       -133.000          51.600      -0.1446930
       -133.000          51.620      -0.1402920
       -133.000          51.640      -0.1357080
       -133.000          51.660      -0.1309710
       -133.000          51.680      -0.1261090
       -133.000          51.700      -0.1211490
       -133.000          51.720      -0.1161190
       -133.000          51.740      -0.1110440
       -133.000          51.760      -0.1059480
       -133.000          51.780      -0.1008540
       -133.000          51.800      -0.0957830
       -133.000          51.820      -0.0907540
       -133.000          51.840      -0.0857860
       -133.000          51.860      -0.0808940
