       -132.000          50.000      -0.0012470
       -132.000          50.050      -0.0008310
       -132.000          50.100      -0.0002620
       -132.000          50.150       0.0004940
       -132.000          50.200       0.0014770
       -132.000          50.250       0.0027230
       -132.000          50.300       0.0042640
       -132.000          50.350       0.0061170
       -132.000          50.400       0.0082660
       -132.000          50.450       0.0106430
       -132.000          50.500       0.0130950
       -132.000          50.550       0.0153480
       -132.000          50.600       0.0169680
       -132.000          50.650       0.0173350
       -132.000          50.700       0.0156470
       -132.000          50.750       0.0109940
       -132.000          50.800       0.0025180
       -132.000          50.850      -0.0103240
       -132.000          50.900      -0.0274310
       -132.000          50.950      -0.0477780
       -132.000          51.000      -0.0693280
       -132.000          51.050      -0.0892890
       -132.000          51.100      -0.1047280
       -132.000          51.150      -0.1133470
       -132.000          51.200      -0.1141270
       -132.000          51.250      -0.1075350
       -132.000          51.300      -0.0952570
       -132.000          51.350      -0.0795900
       -132.000          51.400      -0.0628170
       -132.000          51.450      -0.0467580
       -132.000          51.500      -0.0325830
       -132.000          51.550      -0.0208480
       -132.000          51.600      -0.0116390
       -132.000          51.650      -0.0047510
       -132.000          51.700       0.0001690
       -132.000          51.750       0.0035090
       -132.000          51.800       0.0056380
       -132.000          51.850       0.0068730
       -132.000          51.900       0.0074690
       -132.000          51.950       0.0076240
       -132.000          52.000       0.0074860
       -131.950          50.000      -0.0018040
       -131.950          50.050      -0.0014500
       -131.950          50.100      -0.0009400
       -131.950          50.150      -0.0002330
       -131.950          50.200       0.0007190
       -131.950          50.250       0.0019670
       -131.950          50.300       0.0035610
       -131.950          50.350       0.0055400
       -131.950          50.400       0.0079170
       -131.950          50.450       0.0106550
       -131.950          50.500       0.0136250
       -131.950          50.550       0.0165640
       -131.950          50.600       0.0190110
       -131.950          50.650       0.0202630
       -131.950          50.700       0.0193510
       -131.950          50.750       0.0150970
       -131.950          50.800       0.0062970
       -131.950          50.850      -0.0079460
       -131.950          50.900      -0.0277550
       -131.950          50.950      -0.0520360
       -131.950          51.000      -0.0782680
       -131.950          51.050      -0.1028000
       -131.950          51.100      -0.1216860
       -131.950          51.150      -0.1318340
       -131.950          51.200      -0.1319430
       -131.950          51.250      -0.1228000
       -131.950          51.300      -0.1068200
       -131.950          51.350      -0.0871460
       -131.950          51.400      -0.0667400
       -131.950          51.450      -0.0478080
       -131.950          51.500      -0.0316360
       -131.950          51.550      -0.0186990
       -131.950          51.600      -0.0089130
       -131.950          51.650      -0.0018840
       -131.950          51.700       0.0029040
       -131.950          51.750       0.0059650
       -131.950          51.800       0.0077540
       -131.950          51.850       0.0086420
       -131.950          51.900       0.0089120
       -131.950          51.950       0.0087800
       -131.950          52.000       0.0083970
       -131.900          50.000      -0.0024030
       -131.900          50.050      -0.0021290
