#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
1E|BCH1A|55.83243|-120.25896|689.0|Z|2019-10-04T23:14:00|2026-12-31T23:59:59
1E|BCH1B|55.83242|-120.25889|692.0|Z|2019-10-04T23:14:00|2026-12-31T23:59:59
1E|BCH2A|55.94607|-120.3561|761.0|Z|2019-10-05T00:13:00|2026-12-31T23:59:59
1E|BCH2B|55.94606|-120.35594|763.0|Z|2019-10-05T00:13:00|2026-12-31T23:59:59
1E|MONT1|55.91015|-120.58654|697.0|Z|2018-10-01T22:20:08|2026-12-31T23:59:59
1E|MONT3|56.00578|-120.45388|783.0|Z|2018-10-01T19:17:21|2026-12-31T23:59:59
1E|MONT4|57.31841|-122.70567|1110.0|Z|2018-10-01T17:52:13|2026-12-31T23:59:59
1E|MONT5|57.02691|-122.33603|1097.0|Z|2018-10-16T17:30:57|2026-12-31T23:59:59
1E|MONT6|56.11029|-121.01699|650.0|Z|2018-10-03T19:23:00|2026-12-31T23:59:59
1E|MONT7|56.30795|-122.03161|797.0|Z|2018-10-16T19:16:59|2026-12-31T23:59:59
1E|MONT8|56.06731|-120.77743|695.0|Z|2019-07-15T16:15:44|2026-12-31T23:59:59
1E|MONT9|55.8039|-120.53876|832.0|Z|2019-10-07T20:20:10|2026-12-31T23:59:59
1E|MONTA|56.10432|-121.07004|651.0|Z|2019-10-05T20:25:00|2026-12-31T23:59:59
2K|KW006|54.490558|-118.750307|981.0|Z|2016-09-20T21:00:00|2023-06-22T16:31:22
AK|BESE|58.5792|-134.8559|867.0|Bessie Mountain, AK, USA|2003-09-20T00:00:00|2599-12-31T23:59:59
AK|JIS|58.2758|-134.3848|10.0|Juneau Island, AK, USA|2001-04-11T00:00:00|2599-12-31T23:59:59
AK|R32K|58.2747|-134.5181|386.0|Eaglecrest, AK, USA|2019-12-11T00:00:00|2599-12-31T23:59:59
AK|S31K|57.9616|-136.232|34.0|Pelican, AK, USA|2019-10-16T00:00:00|2599-12-31T23:59:59
AK|S32K|57.4688|-134.5763|26.0|Killisnoo, AK, USA|2019-08-27T00:00:00|2599-12-31T23:59:59
AK|U33K|56.1146|-133.121|11.0|Whale Pass, AK, USA|2019-10-17T00:00:00|2599-12-31T23:59:59
AK|V35K|55.3279|-131.615|64.0|Ketchikan, AK, USA|2019-10-17T00:00:00|2599-12-31T23:59:59
AT|CRAG|55.468941|-133.122971|57.9|Craig, Alaska|2004-12-10T00:00:00|2599-12-31T23:59:59
AT|SIT|57.0569|-135.324402|19.0|Sitka, Alaska|1999-08-11T00:00:00|2599-12-31T23:59:59
C8|BNKB|53.3318|-129.9017|421.0|Banks Island, BC, CA|2014-08-20T00:00:00|2599-12-31T23:59:59
C8|BUTB|53.063|-128.4633|1094.0|Butedale, BC, CA|2014-08-21T00:00:00|2599-12-31T23:59:59
C8|GRIB|53.3385|-129.1383|418.0|Gribbell Island, BC, CA|2017-08-30T00:00:00|2599-12-31T23:59:59
C8|GRNB|53.8468|-129.9575|461.0|Grenville Island, BC, CA|2014-08-24T00:00:00|2599-12-31T23:59:59
C8|HWKB|53.5984|-129.1544|778.0|Hawksbury Island, BC, CA|2014-08-21T00:00:00|2599-12-31T23:59:59
C8|KITB|54.0779|-128.6368|72.0|Kitimat, BC, CA|2014-03-20T00:00:00|2599-12-31T23:59:59
C8|MBLB|54.0361|-128.6257|8.0|Minette Bay lodge, BC, CA|2015-12-09T00:00:00|2599-12-31T23:59:59
C8|MWAB|49.7411|-125.3032|1176.0|Mount Washington, BC, CA|2009-07-31T00:00:00|2599-12-31T23:59:59
C8|SPLB|49.8921|-125.6526|276.0|Strathcona Park Lodge, BC, CA|2009-07-30T00:00:00|2599-12-31T23:59:59
C8|TOFB|49.1543|-125.9078|13.0|Tofino, BC, CA|2009-02-14T00:00:00|2599-12-31T23:59:59
CC|AWST|46.14465|-121.77136|1159.0|Mount Adams West|2017-10-18T00:00:00|2020-01-01T00:00:00
CC|CARB|46.98832|-122.00541|872.47|Carbon Repeater|2018-10-16T00:00:00|2599-12-31T23:59:59
CC|CC|45.61092|-122.49613|66.66|Rainier Lahar Test Station|2019-01-01T00:00:00|2599-12-31T23:59:59
CC|GUAC|46.2192|-122.19233|1618.3|Guacamole, crater of Mount St. Helens|2018-11-19T00:00:00|2599-12-31T23:59:59
CC|JRO|46.27527|-122.21826|1219.0|Johnston Ridge Observatory|2004-10-02T00:00:00|2599-12-31T23:59:59
CC|OBSR|46.899719|-121.815331|2382.0|Observation Rock|2008-09-10T00:00:00|2599-12-31T23:59:59
CC|PANH|46.859032|-121.642592|2086.0|Panhandle Gap|2007-09-10T00:00:00|2599-12-31T23:59:59
CC|PR00|45.61092|-122.49613|66.66|Rainier Lahar Test Station|2019-01-01T00:00:00|2599-12-31T23:59:59
CC|PR01|46.910103|-122.037586|648.0|Puyallup River 01|2016-11-03T00:00:00|2599-12-31T23:59:59
CC|PR02|46.918303|-122.048695|461.0|Puyallup River 02|2016-11-17T00:00:00|2599-12-31T23:59:59
CC|PR03|46.903433|-122.032691|523.0|Puyallup River 03|2016-09-15T00:00:00|2599-12-31T23:59:59
CC|PR04|46.929773|-121.988592|908.0|Puyallup River 04|2017-01-01T00:00:00|2599-12-31T23:59:59
CC|PR05|46.841723|-121.948863|1553.0|Puyallup River 05|2017-09-28T00:00:00|2599-12-31T23:59:59
CC|REM|46.2002|-122.1855|1905.44|Rembrant, Mount St. Helens|2018-07-25T00:00:00|2599-12-31T23:59:59
CC|RUSH|46.90305|-121.94419|1235.0|Rushingwater Creek|2019-06-20T00:00:00|2599-12-31T23:59:59
CC|SEP|46.19978|-122.190857|2114.0|September lobe, Mt. St. Helens (Dome sta)|2004-11-05T00:00:00|2599-12-31T23:59:59
CC|SIFT|46.86683|-121.95329|732.0|Swift Creek|2019-06-20T00:00:00|2599-12-31T23:59:59
CC|STD|46.23749|-122.22421|1189.0|Studebaker Ridge, Mount St. Helens|2004-10-05T00:00:00|2599-12-31T23:59:59
CC|SUG|46.215549|-122.176262|1859.0|Sugar Bowl|2009-08-07T00:00:00|2599-12-31T23:59:59
CC|SWF2|46.178349|-122.216766|1548.0|Southwest Flank 2, Mount St. Helens|2013-08-29T00:00:00|2599-12-31T23:59:59
CC|VALT|46.214218|-122.189247|1681.0|Vault, Mount St. Helens|2006-08-01T00:00:00|2024-06-06T19:00:00
CC|VOIT|46.96636|-121.98328|977.15|Voight Creek|2019-09-25T00:00:00|2599-12-31T23:59:59
CN|MASB|54.0244|-132.0223|3.0|Masset, BC, CA|2024-01-23T20:00:00|2599-12-31T23:59:59
EO|FSJ1|56.346652|-120.66632|685.0|Z|2018-12-10T18:37:05|2020-08-26T23:59:59
EO|FSJ2|56.408176|-121.077328|766.0|Z|2018-12-10T18:38:58|2021-07-20T18:30:00
GD|ALBH|48.389702|-123.487503|32.0|Alberthead, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|BREW|48.1315|-119.682701|249.9|Brewster, Washington, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|DRA2|49.322601|-119.625|351.0|Dominion Astrophysical Observatory, Penticton, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|DSLK|58.435699|-129.988998|795.0|Dease Lake, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|ESQM|48.429199|-123.428802|9.0|Esquimalt, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|FTSJ|56.254902|-120.848701|19.0|Fort St. John, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
