#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
7D|J44C|46.324001|-127.040703|-2742.0|WHOI OBS ID T101|2013-08-09T00:00:00|2014-05-19T23:59:59
7D|J45C|46.520901|-127.904701|-2742.0|WHOI OBS ID T105|2013-08-03T00:00:00|2014-07-07T23:59:59
7D|J46C|46.664501|-128.789398|-2744.0|WHOI OBS ID T107|2013-08-07T00:00:00|2014-05-16T23:59:59
7D|J47C|46.844002|-129.713898|-2679.0|WHOI OBS ID T110|2013-08-07T00:00:00|2014-05-16T23:59:59
7D|J48C|47.129501|-130.650696|-2940.0|WHOI OBS ID S88|2013-08-06T00:00:00|2014-05-17T23:59:59
7D|J49C|46.438|-124.427803|-113.0|LDEO OBS TRAWL-RESISTANT|2013-08-30T00:00:00|2014-06-29T23:59:59
7D|J50C|46.641102|-125.298698|-1931.0|LDEO OBS STANDARD DEEP|2013-09-04T00:00:00|2014-06-30T23:59:59
7D|J51C|46.7957|-126.163101|-2626.0|LDEO OBS STANDARD DEEP|2013-09-06T00:00:00|2014-07-01T23:59:59
7D|J52C|46.992001|-127.0158|-2640.0|SIO OBS ID J52C|2013-08-20T00:00:00|2014-05-31T23:59:59
7D|J53C|47.164299|-127.922302|-2717.0|SIO OBS ID J53C|2013-08-20T00:00:00|2014-05-31T23:59:59
7D|J54C|47.3358|-128.811295|-2666.0|WHOI OBS ID S83|2013-08-03T00:00:00|2014-05-18T23:59:59
7D|J55C|47.531502|-129.707794|-2755.0|WHOI OBS ID S89|2013-08-06T00:00:00|2014-05-17T23:59:59
7D|J57C|47.080399|-124.4506|-67.0|LDEO OBS TRAWL-RESISTANT|2013-09-02T00:00:00|2014-06-28T23:59:59
7D|J58C|47.317799|-125.534599|-1527.0|LDEO OBS STANDARD DEEP|2013-09-04T00:00:00|2014-06-27T23:59:59
7D|J59C|47.511101|-126.416801|-2389.0|LDEO OBS STANDARD DEEP|2013-09-05T00:00:00|2014-06-27T23:59:59
7D|J61C|47.872799|-128.197205|-2673.0|SIO OBS ID J61C|2013-08-20T00:00:00|2014-05-31T23:59:59
7D|J63C|48.2047|-130.005295|-2845.0|WHOI OBS ID S84|2013-08-05T00:00:00|2014-05-17T23:59:59
7D|J65C|47.8913|-125.139801|-169.0|SIO OBS ID J65C|2013-08-19T00:00:00|2014-05-29T23:59:59
7D|J67C|48.151001|-127.0868|-2581.0|WHOI OBS ID S80|2013-08-05T00:00:00|2014-05-19T23:59:59
7D|J68C|48.481098|-127.8293|-2587.0|SIO OBS ID J68C|2013-08-20T00:00:00|2014-05-31T23:59:59
7D|J69C|48.626999|-128.738602|-2544.0|WHOI OBS ID S85|2013-08-05T00:00:00|2014-05-17T23:59:59
7D|J73C|48.767899|-126.192596|-133.0|SIO OBS ID J73C|2013-08-19T00:00:00|2014-05-30T23:59:59
7D|M01C|49.150398|-126.722198|-138.0|SIO OBS ID M01C|2013-08-19T00:00:00|2014-05-30T23:59:59
7D|M02C|48.3069|-125.601196|-141.0|SIO OBS ID M02C|2013-08-19T00:00:00|2014-05-30T23:59:59
7D|M03C|47.888401|-126.104599|-1839.0|SIO OBS ID M03C|2013-08-19T00:00:00|2014-05-30T23:59:59
7D|M04C|47.558399|-125.192299|-570.0|SIO OBS ID M04C|2013-08-19T00:00:00|2014-05-29T23:59:59
7D|M05C|46.1735|-124.934502|-837.0|SIO OBS ID M05C|2013-08-19T00:00:00|2014-05-29T23:59:59
7D|M06C|45.528702|-124.926102|-1460.0|LDEO OBS STANDARD DEEP|2013-09-05T00:00:00|2014-06-24T23:59:59
7D|M07C|44.8988|-125.116798|-1365.0|SIO OBS ID M07C|2013-08-21T00:00:00|2014-06-01T23:59:59
7D|M08C|44.1185|-124.895401|-131.0|SIO OBS ID M08C|2013-08-21T00:00:00|2014-06-01T23:59:59
9G|NM03|43.752331|-121.302238|1871.7|Newberry surface NM03, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NM06|43.72456|-121.30014|1825.2|Newberry surface NM06, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NM08|43.70084|-121.302879|1836.0|Newberry surface NM08, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NM22|43.725231|-121.308952|1804.1|Newberry surface NM22, OR, USA|2012-09-05T00:00:00|2015-02-14T23:59:59
9G|NM40|43.718311|-121.27964|1965.9|Newberry surface NM40, OR, USA|2012-09-05T00:00:00|2015-02-14T23:59:59
9G|NM41|43.710621|-121.291206|1686.6|Newberry surface NM41, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NM42|43.750591|-121.279167|2016.4|Newberry surface NM42, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NN07|43.751469|-121.325089|1686.6|Newberry borehole NN07, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NN09|43.73317|-121.33255|1671.1|Newberry borehole NN09, OR, USA|2012-09-05T00:00:00|2015-02-14T23:59:59
9G|NN17|43.72076|-121.327507|1701.0|Newberry borehole NN17, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NN18|43.737579|-121.302116|1838.5|Newberry borehole NN07, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NN19|43.718319|-121.306953|1804.4|Newberry borehole NN19, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
9G|NN21|43.73317|-121.289871|1904.6|Newberry borehole NN21, OR, USA|2012-09-01T00:00:00|2015-02-14T23:59:59
